model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон Infinix Note 40 Pro 8/256ГБ, зеленый RU	25 999	29 999			Infinix	Зеленый	Апрель 2024 г.	Китай	192 г	6.78 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	32 Mpix	Три модуля (108 + 2 + 2 Mpix)
Смартфон HONOR 200 8/256GB Зелёный EAC	39 999	54 999			HONOR	Зеленый	Июль 2024 г.	Китай	166 г	6.7 ''	AMOLED	90 Гц	256 ГБ	8 ГБ	5200	8-ядерный Qualcomm Snapdragon 7 Gen 3 2.63 ГГц	50 Mpix	Три модуля (50 + 50 + 12 Mpix)
Смартфон Xiaomi Redmi 13 8/256GB, Black RU	17 999	19 999			Xiaomi	Черный	Июнь 2024 г.	Китай	205 г	6.79 ''	IPS LCD	90 Гц	256 ГБ	8 ГБ	5030	8-ядерный MediaTek Helio G91 Ultra 2.00 ГГц	13 Mpix	Два модуля (108 + 2 Mpix)
Смартфон Samsung Galaxy A55 8/128GB Желтый EAC	37 999	41 999	4.5	2	Samsung	Желтый	Март 2024 г.		213 г	6.6 ''	Super AMOLED	120 Гц	128 ГБ	8 ГБ	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32 Mpix	Три модуля (50 + 12 + 5 Mpix)
Смартфон Samsung Galaxy Z Flip6 256GB Желтый EAC	119 999				Samsung	Желтый	Июль 2024 г.	Вьетнам	187 г	6.7 ''	Dynamic AMOLED 2X		256 ГБ	12 ГБ	4000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10 Mpix	Два модуля (50 + 12 Mpix)
Смартфон HONOR X6 64GB Титановый серебристый EAC	13 999		5.0	1	HONOR	Серебристый		Китай	194 г	6.5 ''	IPS		64 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G25 2.00 ГГц	5 Mpix	Три модуля (50 + 2 + 2 Mpix)
Смартфон Samsung Galaxy S24+ 12/256GB Фиолетовый EAC	92 999		5.0	3	Samsung	Фиолетовый	Январь 2024 г.		197 г	6.7 ''	Dynamic AMOLED 2X	120 Гц	256 ГБ	12 ГБ	4900	10-ядерный Exynos 2400 3.30 ГГц	12 Mpix	Три модуля (50 + 12 + 10 Mpix)
Смартфон Xiaomi 14 256GB Зеленый RU	84 999	99 999			Xiaomi	Зеленый	Февраль 2024 г.	Китай	188 г	6.36 ''	AMOLED	90 Гц	256 ГБ	12 ГБ	4610	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	32 Mpix	Два модуля (50 + 50 Mpix + 3D ToF)
Смартфон Xiaomi Redmi 12C 128GB Графитовый серый RU	9 999		5.0	2	Xiaomi	Темно-серый	Март 2023 г.	Китай	192 г	6.71 ''	IPS		128 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	5 Mpix	50 Mpix
Смартфон Xiaomi 13T Pro 12/256GB Meadow Green RU	64 999				Xiaomi	Зеленый	Сентябрь 2023 г.	Китай	197 г	6.67 ''	AMOLED	144 Гц	256 ГБ	12 ГБ	5000	8-ядерный MediaTek Dimensity 9200+ 3.20 ГГц	20 Mpix	Три модуля (50 + 50 + 12 Mpix)
Смартфон Infinix Zero 30 8/256 Зеленый RU	21 999	28 999			Infinix	Зеленый	Февраль 2024 г.	Китай	182 г	6.78 ''	AMOLED	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	50 Mpix	Два модуля (108 + 2 Mpix)
Смартфон Poco M6 Pro 8GB/256GB Blue RU	20 999	24 999			Poco	Синий	Июнь 2021 г.	Китай	180 г	6.67 ''	AMOLED		256 ГБ	8 ГБ	5000	8-ядерный MediaTek MediaTek Helio G99 Ultra 2.30 ГГц	16 Mpix	Три модуля (64 + 2 + 16 Mpix)
Смартфон TECNO Camon 30 Pro 5G 12/512GB Snowy Silver RU	39 999	47 999			TECNO	Серебристый	Апрель 2024 г.	Китай	194 г	6.7 ''	AMOLED	144 Гц	512 ГБ	12 ГБ	5000	8-ядерный MediaTek Dimensity 8200 Ultimate 5G 3.00 ГГц	50 Mpix	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy A14 64GB Серебристый RU	12 199				Samsung	Серебристый	Март 2023 г.		201 г	6.6 ''	PLS TFT LCD		64 ГБ	4 ГБ	5000	8-ядерный Exynos 850 2.00 ГГц	13 Mpix	Четыре модуля (50 + 5 + 2 + 2 Mpix + 3D ToF)
Смартфон realme Note 50 3/64GB Черный RU	7 499		4.8	12	realme	Черный	Январь 2024 г.	Китай	190 г	6.7 ''	IPS		64 ГБ	3 ГБ	5000	8-ядерный Unisoc Tiger T612 1.80 ГГц	5 Mpix	Два модуля (13 + 0.08 Mpix)
Смартфон realme C53 128GB Черный RU	9 999	15 999	5.0	20	realme	Черный	Август 2023 г.	Китай	182 г	6.74 ''	IPS		128 ГБ	6 ГБ	5000	8-ядерный Unisoc T612 UMS9230H, 1.80 ГГц	8 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон HONOR 200 Pro 12/512GB Голубой EAC	64 999	74 999			HONOR	Голубой	Июль 2024 г.	Китай		6.78 ''	AMOLED	90 Гц	512 ГБ	12 ГБ	5200	8-ядерный Qualcomm Snapdragon 8s Gen3 3.00 ГГц	50 Mpix	Три модуля (50 + 50 + 12 Mpix)
Смартфон Xiaomi Redmi 12C 128GB Морской синий RU	9 999		5.0	2	Xiaomi	Синий	Март 2023 г.	Китай	192 г	6.71 ''	IPS		128 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	5 Mpix	50 Mpix
Смартфон Xiaomi Redmi A3 4/128GB Forest Green RU	8 999		5.0	1	Xiaomi	Зеленый	Февраль 2024 г.	Китай	199 г	6.71 ''	IPS		128 ГБ	4 ГБ	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	5 Mpix	8 Mpix
Смартфон Infinix Smart 8 Pro 4/64GB, белый	7 999				Infinix	Белый		Китай	184 г	6.56 ''	HD Plus IPS	90 Гц	64 ГБ	4 ГБ	5000	8-ядерный MediaTek G36 2.20 ГГц	8 Mpix	Два модуля (50 + 0.80 Mpix)
Смартфон TECNO Spark Go 2024 4/128GB Белый RU	8 499	10 990	5.0	2	TECNO	Белый	Март 2023 г.	Китай	195 г	6.6 ''	IPS		128 ГБ	4 ГБ	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	8 Mpix	Два модуля (13 + 2 Mpix)
Смартфон TECNO Pova 4 Pro 256GB Синий RU	15 999		4.8	25	TECNO	Синий	Ноябрь 2022 г.	Китай	213.5 г	6.7 ''	AMOLED		256 ГБ	8 ГБ	6000	8-ядерный MediaTek Helio G99 2.20 ГГц	8 Mpix	Два модуля (50 + 2 Mpix)
Смартфон TECNO Spark 20 Pro 8/256GB Черный RU	16 999	19 999	5.0	1	TECNO	Черный	Декабрь 2023 г.	Китай	206 г	6.8 ''	IPS	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	32 Mpix	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон Xiaomi Redmi 13 6/128GB, Pink RU	15 499	16 499			Xiaomi	Розовый	Июнь 2024 г.	Китай	205 г	6.79 ''	IPS LCD	90 Гц	128 ГБ	6 ГБ	5030	8-ядерный MediaTek Helio G91 Ultra 2.00 ГГц	13 Mpix	Два модуля (108 + 2 Mpix)
Смартфон TECNO Camon 30 8/256GB Design Edition RU	20 999	25 999			TECNO	Зеленый	Апрель 2024 г.	Китай	197.5 г	6.8 ''	AMOLED	120 Гц	256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	50 Mpix	Два модуля (50 + 2 Mpix)
Смартфон realme C67 6/128GB Черный RU	16 999	18 999	4.9	17	realme	Черный		Китай	185 г	6.72 ''	IPS		128 ГБ	6 ГБ	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	8 Mpix	Два модуля (108 + 2 Mpix)
Смартфон Samsung Galaxy A15 8/256GB Голубой RU	19 999	21 999			Samsung	Голубой	Январь 2024 г.		200 г	6.5 ''	AMOLED		256 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	13 Mpix	Три модуля (50 + 5 + 2 Mpix + 3D ToF)
Смартфон TECNO Spark Go 2024 4/64GB Зеленый RU	7 999	9 990	5.0	2	TECNO	Зеленый	Январь 2024 г.	Китай	195 г	6.6 ''	IPS		64 ГБ	4 ГБ	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	8 Mpix	Два модуля (13 + 2 Mpix)
Смартфон Infinix Smart 7 HD 2/64GB Черный RU	6 999	7 999			Infinix	Черный	Июль 2023 г.	Китай	196 г	6.6 ''	IPS	60 Гц	64 ГБ	2 ГБ	5000	8-ядерный Unisoc SC9863A 1.60 ГГц	5 Mpix	Два модуля (8 + 0.30 Mpix)
Смартфон TECNO POP 7 64GB Черная сталь RU	6 499				TECNO	Черный	Июнь 2023 г.	Китай	187 г	6.6 ''	TN	60 Гц	64 ГБ	2 ГБ	5000	8-ядерный Unisoc SC9863A1 1.60 ГГц	5 Mpix	Два модуля (13 + 13 Mpix)
Смартфон realme C63 8/256GB, Кожаный Синий RU	14 999	16 999			realme	Синий	Июль 2024 г.	Китай	189 г	6.74 ''	IPS	90 Гц	256 ГБ	8 ГБ	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	8 Mpix	Два модуля (50 Mpix)
Смартфон Infinix Zero 40 5G 12/256G, Violet Garden RU	39 999	40 999			Infinix	Фиолетовый	Сентябрь 2024 г.	Китай	195 г	6.78 ''	Full HD+	120 Гц	256 ГБ	12 ГБ	5000	8-ядерный MediaTek Dimensity D8200 Ultimate 3.10 ГГц	50 Mpix	Три модуля (108 + 50 + 2 Mpix)
Смартфон Xiaomi 14 Ultra 512GB White  RU	134 999	149 999	5.0	1	Xiaomi	Белый	Март 2024 г.	Китай	227 г	6.73 ''	AMOLED	120 Гц	512 ГБ	16 ГБ	5000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.20 ГГц	32 Mpix	Четыре модуля (50 + 50 + 50 + 50 Mpix)
Смартфон TECNO Spark 10 Pro 128GB Белый RU	12 999	15 990	5.0	7	TECNO	Белый	Апрель 2023 г.	Китай	205 г	6.78 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32 Mpix	Два модуля (50 + 0.08 Mpix)
Смартфон HONOR 200 12/512GB Зелёный EAC	44 999	59 999			HONOR	Зеленый	Июль 2024 г.	Китай	166 г	6.7 ''	AMOLED	90 Гц	512 ГБ	12 ГБ	5200	8-ядерный Qualcomm Snapdragon 7 Gen 3 2.63 ГГц	50 Mpix	Три модуля (50 + 50 + 12 Mpix)
Смартфон HONOR X5 Plus 64GB Черный RU	12 999	14 999			HONOR	Черный	Сентябрь 2023 г.	Китай	188 г	6.5 ''	TFT LCD		64 ГБ	4 ГБ	5200	8-ядерный MediaTek Helio G36 2.20 ГГц	5 Mpix	Два модуля (50 + 2 Mpix)
Смартфон HONOR 200 Pro 12/512GB Чёрный EAC	64 999	74 999			HONOR	Черный	Июль 2024 г.	Китай		6.78 ''	AMOLED	90 Гц	512 ГБ	12 ГБ	5200	8-ядерный Qualcomm Snapdragon 8s Gen3 3.00 ГГц	50 Mpix	Три модуля (50 + 50 + 12 Mpix)
Смартфон realme C61 8/128, Gold RU	11 999	13 999	5.0	5	realme	Золотистый	Июль 2024 г.	Китай	187 г	6.74 ''	IPS	90 Гц	128 ГБ	8 ГБ	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	5 Mpix	50 Mpix
