model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон realme Note 50 3/64GB Черный RU	7499		4.8	12	realme	Черный	2024-01	Китай	190	6.7	IPS		64	3	5000	8-ядерный Unisoc Tiger T612 1.80 ГГц	5	Два модуля (13 + 0.08 Mpix)
Смартфон realme C53 128GB Черный RU	9999	15999	5	20	realme	Черный	2023-08	Китай	182	6.74	IPS		128	6	5000	8-ядерный Unisoc T612 UMS9230H, 1.80 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон HONOR 200 Pro 12/512GB Голубой EAC	64999	74999			HONOR	Голубой	2024-07	Китай		6.78	AMOLED	90	512	12	5200	8-ядерный Qualcomm Snapdragon 8s Gen3 3.00 ГГц	50	Три модуля (50 + 50 + 12 Mpix)
Смартфон Xiaomi Redmi 12C 128GB Морской синий RU	9999		5	2	Xiaomi	Синий	2023-03	Китай	192	6.71	IPS		128	4	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	5	50 Mpix
Смартфон Xiaomi Redmi A3 4/128GB Forest Green RU	8999		5	1	Xiaomi	Зеленый	2024-02	Китай	199	6.71	IPS		128	4	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	5	8 Mpix
Смартфон Infinix Smart 8 Pro 4/64GB, белый	7999				Infinix	Белый		Китай	184	6.56	HD Plus IPS	90	64	4	5000	8-ядерный MediaTek G36 2.20 ГГц	8	Два модуля (50 + 0.80 Mpix)
Смартфон TECNO Spark Go 2024 4/128GB Белый RU	8499	10990	5	2	TECNO	Белый	2023-03	Китай	195	6.6	IPS		128	4	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	8	Два модуля (13 + 2 Mpix)
Смартфон TECNO Pova 4 Pro 256GB Синий RU	15999		4.8	25	TECNO	Синий	2022-11	Китай	213.5	6.7	AMOLED		256	8	6000	8-ядерный MediaTek Helio G99 2.20 ГГц	8	Два модуля (50 + 2 Mpix)
Смартфон TECNO Spark 20 Pro 8/256GB Черный RU	16999	19999	5	1	TECNO	Черный	2023-12	Китай	206	6.8	IPS	120	256	8	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон Xiaomi Redmi 13 6/128GB, Pink RU	15499	16499			Xiaomi	Розовый	2024-06	Китай	205	6.79	IPS LCD	90	128	6	5030	8-ядерный MediaTek Helio G91 Ultra 2.00 ГГц	13	Два модуля (108 + 2 Mpix)
Смартфон TECNO Camon 30 8/256GB Design Edition RU	20999	25999			TECNO	Зеленый	2024-04	Китай	197.5	6.8	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	50	Два модуля (50 + 2 Mpix)
Смартфон realme C67 6/128GB Черный RU	16999	18999	4.9	17	realme	Черный		Китай	185	6.72	IPS		128	6	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	8	Два модуля (108 + 2 Mpix)
Смартфон Samsung Galaxy A15 8/256GB Голубой RU	19999	21999			Samsung	Голубой	2024-01		200	6.5	AMOLED		256	8	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	13	Три модуля (50 + 5 + 2 Mpix + 3D ToF)
Смартфон TECNO Spark Go 2024 4/64GB Зеленый RU	7999	9990	5	2	TECNO	Зеленый	2024-01	Китай	195	6.6	IPS		64	4	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	8	Два модуля (13 + 2 Mpix)
Смартфон Infinix Smart 7 HD 2/64GB Черный RU	6999	7999			Infinix	Черный	2023-07	Китай	196	6.6	IPS	60	64	2	5000	8-ядерный Unisoc SC9863A 1.60 ГГц	5	Два модуля (8 + 0.30 Mpix)
Смартфон TECNO POP 7 64GB Черная сталь RU	6499				TECNO	Черный	2023-06	Китай	187	6.6	TN	60	64	2	5000	8-ядерный Unisoc SC9863A1 1.60 ГГц	5	Два модуля (13 + 13 Mpix)
Смартфон realme C63 8/256GB, Кожаный Синий RU	14999	16999			realme	Синий	2024-07	Китай	189	6.74	IPS	90	256	8	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	8	Два модуля (50 Mpix)
Смартфон Infinix Zero 40 5G 12/256G, Violet Garden RU	39999	40999			Infinix	Фиолетовый	2024-09	Китай	195	6.78	Full HD+	120	256	12	5000	8-ядерный MediaTek Dimensity D8200 Ultimate 3.10 ГГц	50	Три модуля (108 + 50 + 2 Mpix)
Смартфон Xiaomi 14 Ultra 512GB White  RU	134999	149999	5	1	Xiaomi	Белый	2024-03	Китай	227	6.73	AMOLED	120	512	16	5000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.20 ГГц	32	Четыре модуля (50 + 50 + 50 + 50 Mpix)
Смартфон TECNO Spark 10 Pro 128GB Белый RU	12999	15990	5	7	TECNO	Белый	2023-04	Китай	205	6.78	IPS	90	128	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
