model	price(₽)	old_price(₽)	rating	rating_count	company	color	release_date	country	weight(g)	diagonal(inches)	display	refresh_rate(Hz)	memory(Gb)	ram(Gb)	battery(mAh)	processor	front_camera(Mpix)	main_camera
Смартфон Xiaomi Redmi Note 13 Pro 12GB/512GB Forest Green RU	33999	34999			Xiaomi	Зеленый	2024-01	Китай	187	6.67	AMOLED	120	512	12	5000	8-ядерный MediaTek Helio G99 Ultra 2.20 ГГц	16	Три модуля (200 + 8 + 2 Mpix)
Смартфон Samsung Galaxy S24 Ultra 12/256GB Черный Титан EAC	116999		5	3	Samsung	Черный	2024-01		168	6.8	Dynamic AMOLED 2X	120	256	12	5000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	12	Четыре модуля (200 + 50 + 12 + 10 Mpix)
Смартфон Samsung Galaxy A34 128GB Серебристый RU	23499		5	3	Samsung	Серебристый	2023-03		199	6.6	Super AMOLED	120	128	6	5000	8-ядерный Samsung Dimensity 1080 2.60 ГГц	13	Три модуля (48 + 8 + 5 Mpix)
Смартфон Samsung Galaxy A15 4/128GB Синий RU	14999	15999			Samsung	Синий	2024-01		200	6.5	AMOLED		128	4	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	13	Три модуля (50 + 5 + 2 Mpix + 3D ToF)
Смартфон Infinix Note 40 8/256ГБ, золотой RU	20999	26999	4	1	Infinix	Золотистый	2024-04	Китай	192	6.78	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	32	Три модуля (108 + 2 + 0.30 Mpix)
Смартфон HUAWEI nova 12i 8/256GB Green EAC	17999				HUAWEI	Зеленый	2024-05	Китай	199	6.7	IPS	90	256	8	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8	Два модуля (108 + 2 Mpix)
Смартфон Samsung Galaxy Z Flip6 512GB Зеленый EAC	129999				Samsung	Зеленый	2024-07	Вьетнам	187	6.7	Dynamic AMOLED 2X		512	12	4000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Два модуля (50 + 12 Mpix)
Смартфон Samsung Galaxy S24+ 12/256GB Серый EAC	92999		5	3	Samsung	Серый	2024-01		197	6.7	Dynamic AMOLED 2X	120	256	12	4900	10-ядерный Exynos 2400 3.30 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон HONOR X8b 8/256GB Черный EAC	22999	25999	5	23	HONOR	Черный	2024-06	Китай	166	6.7	AMOLED		256	8	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	50	Три модуля (108 + 5 + 2 Mpix)
Смартфон HONOR X9a 6/128GB Полночный черный RU	24999		5	10	HONOR	Черный	2023-02	Китай	175	6.67	OLED		128	6	5100	8-ядерный Qualcomm Snapdragon 695 2.20 ГГц	16	Три модуля (64 + 5 + 2 Mpix)
Смартфон realme C55 128GB Зеленый RU	11999	16999	5	54	realme	Зеленый	2023-04	Китай	189.5	6.72	Full HD IPS		128	6	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	8	Два модуля (64 + 2 Mpix)
Смартфон TECNO Camon 20 Pro 5G 256GB Голубая фиалка RU	24999	29999	5	5	TECNO	Голубой	2023-06	Китай	194	6.7	AMOLED		256	8	5000	8-ядерный MediaTek Dimensity 8050 3.00 ГГц	32	Три модуля (64 + 2 + 2 Mpix)
Смартфон TECNO Spark 10C 4/128GB Синий RU	9499	10999	5	3	TECNO	Синий	2023-04	Китай	192	6.56	IPS	90	128	4	5000	8-ядерный Unisoc T606 1.60 ГГц	8	Два модуля (16 + 0.08 Mpix)
Смартфон TECNO Spark 20 Pro+ 8/256GB Белый RU	20999	23999	5	1	TECNO	Белый	2024-01	Китай	206	6.8	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.00 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон realme 9 8/128GB Золотой RU	18999	30999	5	15	realme	Золотистый	2022-06	Китай	178	6.4	Super AMOLED		128	8	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	16	Три модуля (108 + 8 + 2 Mpix)
Смартфон Samsung Galaxy A35 8/128GB Темно-синий EAC	29999	34999	5	1	Samsung	Черный	2024-03		209	6.6	Super AMOLED	120	128	8	5000	8-ядерный Samsung Exynos 1380 2.40 ГГц	13	Три модуля (50 + 8 + 5 Mpix)
Смартфон TECNO Spark 20C 8/128GB Зеленый RU	10999	12990	5	2	TECNO	Зеленый	2023-12	Китай	189	6.56	IPS	90	128	8	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон HONOR X8b 8/128GB Серебристый EAC	19999	22999	5	23	HONOR	Серебристый	2024-06	Китай	166	6.7	AMOLED		128	8	4500	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	50	Три модуля (108 + 5 + 2 Mpix)
Смартфон realme 10 8/256GB Белый RU	12499		5	1	realme	Белый	2022-10	Китай	178.5	6.4	AMOLED		256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16	Два модуля (50 + 2 Mpix)
Смартфон realme 12 5G 8/256GB Green RU	20999		5	8	realme	Зеленый	2024-05	Китай	191	6.72	IPS	120	256	8	5000	8-ядерный MediaTek Dimensity 6100+ 2.20 ГГц	8	Два модуля (108 + 2 Mpix)
Смартфон TECNO Pova 5 8/128GB Синий RU	14499	17990	4.9	10	TECNO	Синий	2023-07	Китай	210	6.8	IPS	120	128	8	6000	8-ядерный MediaTek Helio G99 2.20 ГГц	8	Два модуля (50 + 2 Mpix)
Смартфон HONOR X5 Plus 64GB Искрящийся зеленый RU	12999	14999			HONOR	Светло-зеленый	2023-09	Китай	188	6.5	TFT LCD		64	4	5200	8-ядерный MediaTek Helio G36 2.20 ГГц	5	Два модуля (50 + 2 Mpix)
Смартфон TECNO Spark 20C 4/256GB Gold RU	11999	13490	5	2	TECNO	Зеленый	2023-12	Китай	189	6.56	IPS	90	256	4	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон HONOR X7a 128GB Полночный черный EAC	9499		5	2	HONOR	Черный	2023-03	Китай	196	6.74	LCD		128	4	5330	8-ядерный MediaTek 6765H 2.30 ГГц	8	Четыре модуля (50 + 5 + 2 + 2 Mpix)
Смартфон Samsung Galaxy A25 8/256GB Голубой EAC	28999				Samsung	Голубой	2024-01		197	6.5	Super AMOLED	90	256	8	5000	8-ядерный Exynos Exynos 1280 2.40 ГГц	13	Три модуля (50 + 8 + 2 Mpix)
Смартфон TECNO Pova 6 12/256GB Interstellar Blue RU	22499	26990	5	2	TECNO	Синий	2024-03	Китай	195	6.8	Full HD Plus AMOLED	120	256	12	6000	8-ядерный MediaTek MediaTek G99 Ultimate 2.40 ГГц	32	108 Mpix
Смартфон HONOR 200 Lite 8/256GB Мерцающий голубой EAC	24999	26999			HONOR	Голубой	2024-06	Китай	166	6.7	AMOLED	90	256	8	4500	8-ядерный MediaTek Dimensity 6080 2.40 ГГц	50	Три модуля (108 + 5 + 2 Mpix)
Смартфон TECNO Spark 20 Pro+ 8/256GB Зеленый  RU	20999	23999	5	1	TECNO	Зеленый	2024-02	Китай	206	6.8	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.00 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон Infinix Note 30 Pro 8/256 GB Золотой RU	21999	23999	4.4	7	Infinix	Золотистый	2023-07	Китай	203	6.67	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	32	Три модуля (108 + 2 + 2 Mpix)
Смартфон Xiaomi Redmi 13C 128GB Черный RU	10999	11999	3	1	Xiaomi	Черный	2023-12	Китай	192	6.74	IPS	90	128	4	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	8	Два модуля (50 + 2 Mpix + 3D ToF)
Смартфон TECNO Spark 20C 8/128GB Черный RU	10999	12990	5	2	TECNO	Зеленый	2023-12	Китай	189	6.56	IPS	90	128	8	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон Itel A70 4/256GB Green RU	8499		5	1	Itel	Зеленый	2024-02	Китай	195	6.6	IPS		256	4	5000	8-ядерный Unisoc T603 1.60 ГГц	8	Два модуля (13 + 0.08 Mpix)
Смартфон TECNO Camon 20 Premier 5G 512GB Черный небосвод RU	32999	39999	5	6	TECNO	Черный	2023-06	Китай	205	6.7	AMOLED		512	8	5000	8-ядерный MediaTek Dimensity 8050 3.00 ГГц	32	Три модуля (108 + 50 + 2 Mpix)
Смартфон Samsung Galaxy A55 8/256GB Желтый EAC	42999	45999	4.5	2	Samsung	Желтый	2024-03		213	6.6	Super AMOLED	120	256	8	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32	Три модуля (50 + 12 + 5 Mpix)
Смартфон Samsung Galaxy A25 8/256GB Темно-синий EAC	28999				Samsung	Черный	2023-06		197	6.5	Super AMOLED	90	256	8	5000	8-ядерный Exynos Exynos 1280 2.40 ГГц	13	Три модуля (50 + 8 + 2 Mpix)
Смартфон realme C55 256GB Зеленый RU	13999		5	54	realme	Зеленый	2023-04	Китай	189.5	6.72	Full HD IPS		256	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	8	Два модуля (64 + 2 Mpix)
Смартфон Xiaomi Redmi Note 13 Pro 12GB/512GB Midnight Black RU	33999	34999			Xiaomi	Черный	2024-01	Китай	187	6.67	AMOLED	120	512	12	5000	8-ядерный MediaTek Helio G99 Ultra 2.20 ГГц	16	Три модуля (200 + 8 + 2 Mpix)
Смартфон HONOR 70 128GB Изумрудно-зеленый EAC	26999		4.6	5	HONOR	Зеленый		Китай	178	6.67	OLED		128	8	4800	8-ядерный Qualcomm Snapdragon 778G Plus 5G 2.50 ГГц	32	Три модуля (54 + 50 + 2 Mpix)
Смартфон realme 11 Pro 8/128GB Черный RU	21499		5	20	realme	Черный	2023-07	Китай	190	6.72	AMOLED		128	8	5000	8-ядерный MediaTek Dimensity 7050 5G 2.60 ГГц	16	Два модуля (100 + 2 Mpix)
Смартфон Xiaomi Redmi 12C 3/64GB Лавандовый фиолетовый	6999		5	2	Xiaomi	Сиреневый	2023-03	Китай	192	6.71	IPS		64	3	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	5	50 Mpix
Смартфон HONOR 200 8/256GB Чёрный EAC	39999	54999			HONOR	Черный	2024-07	Китай	166	6.7	AMOLED	90	256	8	5200	8-ядерный Qualcomm Snapdragon 7 Gen 3 2.63 ГГц	50	Три модуля (50 + 50 + 12 Mpix)
Смартфон Poco X6 5G 8/256GB White RU	27999	31999			Poco	Белый		Китай	181	6.67	AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 7s Gen 2 7s Gen2 2.40 ГГц	16	Три модуля (64 + 8 + 2 Mpix)
Смартфон Samsung Galaxy A25 6/128GB Черный EAC	23999				Samsung	Черный	2024-02		197	6.5	Super AMOLED	90	128	6	5000	8-ядерный Exynos Exynos 1280 2.40 ГГц	13	Три модуля (50 + 8 + 2 Mpix)
Смартфон Infinix HOT 30 4/128 Белый RU	11999	15999	5	4	Infinix	Белый	2023-07	Китай	196	6.78	IPS	90	128	4	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	8	Два модуля (50 + 0.30 Mpix)
Смартфон Infinix HOT 40i 8/256 Золотистый RU	12999	15999	3.5	2	Infinix	Золотистый	2024-02	Китай	190	6.56	IPS	90	256	8	5000	8-ядерный Unisoc Tiger T606 1.60 ГГц	32	Два модуля (50 + 0.20 Mpix)
Смартфон HONOR X7 4/128GB Синий океан EAC	8999		5	3	HONOR	Синий	2022-04	Китай	177	6.74	LTPS		128	4	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8	Четыре модуля (48 + 5 + 2 + 2 Mpix + 3D ToF)
Смартфон HONOR X7b 8/128GB Серебристый EAC	15999	17999	4.9	20	HONOR	Серебристый	2024-06	Китай	199	6.8	TFT LCD	90	128	8	6000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8	Три модуля (108 + 5 + 2 Mpix)
Смартфон TECNO Spark 9 Pro 128GB Голубой RU	8999		5	2	TECNO	Голубой	2022-08	Китай	197	6.6	TFT		128	4	5000	8-ядерный MediaTek 6769V/CZ 2.00 ГГц	32	Три модуля (50 + 2 + 8 Mpix)
Смартфон Xiaomi Redmi A3 3/64GB Forest Green RU	6999		5	1	Xiaomi	Зеленый	2024-02	Китай	199	6.71	IPS		64	3	5000	8-ядерный MediaTek Helio G36 2.20 ГГц	5	8 Mpix
Смартфон Samsung Galaxy A05s 128GB Черный EAC	13999				Samsung	Черный	2023-11	Китай	195	6.7	PLS LCD	60	128	4	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	13	Три модуля (50 + 2 + 2 Mpix + 3D ToF)
Смартфон Infinix HOT 40 8/256 Золотистый RU	14999	16999			Infinix	Золотистый	2023-12	Китай	197	6.78	IPS	90	256	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32	Три модуля (50 + 2 + 0.20 Mpix)
Смартфон realme 11 8/256GB Золотой RU	16999	29999	5	24	realme	Золотистый	2023-10	Китай	178	6.43	Full HD Plus AMOLED		256	8	5000	8-ядерный MediaTek G99 2.20 ГГц	16	Два модуля (108 + 2 Mpix)
Смартфон HONOR X6a 4/128GB Черный EAC	14999	15999			HONOR	Черный		Китай	188	6.56	TFT LCD		128	4	5200	8-ядерный MediaTek Helio G36 2.20 ГГц	5	Три модуля (50 + 2 + 2 Mpix)
Смартфон TECNO Pova 6 Neo 8/256GB Comet Green RU	18999	20999	5	2	TECNO	Зеленый	2024-03	Китай	206	6.8	Full HD+	120	256	8	7000	8-ядерный MediaTek G99 Ultimate 2.20 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон HONOR Magic V2 512GB Черный EAC	139999	179999	5	6	HONOR		2024-02	Китай	237	7.92	OLED	120	512	16	5000	8-ядерный Qualcomm Snapdragon 8 Gen 2 2.80 ГГц	1616	Три модуля (50 + 50 + 20 Mpix)
Смартфон Xiaomi Redmi Note 12 6/128GB Ice Blue RU	13999	22990	3.3	3	Xiaomi	Синий	2023-03	Китай	186	6.67	AMOLED	120	128	6	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	13	Три модуля (50 + 8 + 2 Mpix)
Смартфон realme C53 256GB Глубокий черный RU	11999	19999	5	20	realme	Черный	2023-08	Китай	182	6.74	IPS		256	8	5000	8-ядерный Unisoc T612 UMS9230H, 1.80 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон Xiaomi Redmi 12 4/128GB Sky Blue RU	10999		4.8	5	Xiaomi	Голубой	2023-06	Китай	199	6.79	Full HD+		128	4	5000	8-ядерный MediaTek HelioG88 2.00 ГГц	8	Три модуля (50 + 8 + 2 Mpix)
Смартфон Samsung Galaxy Z Fold6 512GB Серый EAC	199999				Samsung	Серый	2024-07	Вьетнам	239	7.6	Dynamic AMOLED 2X		512	12	4400	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Три модуля (50 + 12 + 10 Mpix)
Смартфон Infinix Note 40 Pro 12/256ГБ, зеленый RU	27999	32999			Infinix	Зеленый	2024-04	Китай	192	6.78	AMOLED	120	256	12	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	32	Три модуля (108 + 2 + 2 Mpix)
Смартфон HONOR 90 512GB Полночный черный EAC	42999	45999	4.5	10	HONOR	Черный		Китай	183	6.7	AMOLED	120	512	12	5000	8-ядерный Qualcomm Snapdragon 7 Gen 1 2.50 ГГц	50	Три модуля (200 + 12 + 2 Mpix)
Смартфон Samsung Galaxy A15 4/128GB Темно-синий EAC	14999	15999			Samsung	Черный	2024-01		200	6.5	AMOLED		128	4	5000	8-ядерный MediaTek Helio G99 2.00 ГГц	13	Три модуля (50 + 5 + 2 Mpix + 3D ToF)
Смартфон HONOR 200 8/256GB Белый EAC	39999	54999			HONOR	Белый	2024-07	Китай	166	6.7	AMOLED	90	256	8	5200	8-ядерный Qualcomm Snapdragon 7 Gen 3 2.63 ГГц	50	Три модуля (50 + 50 + 12 Mpix)
Смартфон Xiaomi Redmi Note 12 8/256GB Onyx Gray RU	15999		3.3	3	Xiaomi	Серый	2023-03	Китай	186	6.67	AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	13	Три модуля (50 + 8 + 2 Mpix)
Смартфон realme C67 6/128GB Зеленый оазис RU	16999	18999	4.9	17	realme	Зеленый		Китай	185	6.72	IPS		128	6	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	8	Два модуля (108 + 2 Mpix)
Смартфон Infinix Note 40 8/256ГБ, черный RU	20999	26999	4	1	Infinix	Черный	2024-04	Китай	192	6.78	AMOLED	120	256	8	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	32	Три модуля (108 + 2 + 0.30 Mpix)
Смартфон TECNO Pova Neo 3 8/128GB Золотой RU	12499	14990	5	3	TECNO	Золотистый	2023-07	Китай		6.8	IPS		128	8	7000	8-ядерный MediaTek Helio G85 2.00 ГГц	8	Два модуля (16 + 2 Mpix)
Смартфон Xiaomi Redmi Note 13 8/256GB Midnight Black RU	20999	27999	5	2	Xiaomi	Черный	2024-01	Китай	188	6.67	AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16	Три модуля (108 + 8 + 2 Mpix)
Смартфон Xiaomi 14 256GB Черный RU	84999	99999			Xiaomi	Черный	2024-02	Китай	188	6.36	AMOLED	90	256	12	4610	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	32	Два модуля (50 + 50 Mpix + 3D ToF)
Смартфон TECNO Pova 6 Pro 5G 12/256GB Серый RU	26999	29999	5	3	TECNO	Серый	2022-11	Китай	195	6.8	Full HD Plus AMOLED	120	256	12	6000	8-ядерный MediaTek Dimensity 6080 5G 2.40 ГГц	32	Три модуля (108 + 2 + 0.08 Mpix)
Смартфон Xiaomi 14 512GB Черный RU	94999	109999			Xiaomi	Черный	2024-02	Китай	188	6.36	AMOLED	90	512	12	4610	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	32	Два модуля (50 + 50 Mpix + 3D ToF)
Смартфон TECNO Spark 10 4/128GB Синий RU	9999	11999	4.8	11	TECNO	Синий	2023-04	Китай	188	6.56	IPS	90	128	4	5000	8-ядерный MediaTek Helio G37 2.30 ГГц	8	Два модуля (50 + 0.08 Mpix)
Смартфон Samsung Galaxy Z Fold6 256GB Синий EAC	189999				Samsung	Синий	2024-07	Вьетнам	239	7.6	Dynamic AMOLED 2X		256	12	4400	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.39 ГГц	10	Три модуля (50 + 12 + 10 Mpix)
Смартфон realme C61 8/256, Green RU	12999	14999	5	5	realme	Зеленый	2024-07	Китай	187	6.74	IPS	90	256	8	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	5	50 Mpix
Смартфон Samsung Galaxy S24+ 12/512GB Черный EAC	105999		5	3	Samsung	Черный	2024-01		197	6.7	Dynamic AMOLED 2X	120	512	12	4900	10-ядерный Exynos 2400 3.30 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон Samsung Galaxy S24 Ultra 12/1TB Желтый Титан EAC	159999		5	3	Samsung	Желтый	2024-01		168	6.8	Dynamic AMOLED 2X	120	1	12	5000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	12	Четыре модуля (200 + 50 + 12 + 10 Mpix)
Смартфон Samsung Galaxy A55 8/128GB Темно-синий EAC	37999	41999	4.5	2	Samsung	Черный	2024-03		213	6.6	Super AMOLED	120	128	8	5000	8-ядерный Samsung Exynos 1480 2.40 ГГц	32	Три модуля (50 + 12 + 5 Mpix)
Смартфон TECNO Camon 20 Pro 256GB Предрассветный черный RU	17999	23999	5	7	TECNO	Черный	2023-06	Китай	185	6.7	AMOLED		256	8	5000	8-ядерный MediaTek HELIO G99 2.20 ГГц	32	Два модуля (64 + 2 Mpix)
Смартфон Xiaomi 14 512GB Белый RU	94999	109999			Xiaomi	Белый	2024-02	Китай	188	6.36	AMOLED	90	512	12	4610	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	32	Два модуля (50 + 50 Mpix + 3D ToF)
Смартфон TECNO Pova Neo 3 8/128GB Черный RU	12499	14990	5	3	TECNO	Черный	2023-07	Китай		6.8	IPS		128	8	7000	8-ядерный MediaTek Helio G85 2.00 ГГц	8	Два модуля (16 + 2 Mpix)
Смартфон realme C55 128GB Черный RU	11999	16999	5	54	realme	Черный	2023-04	Китай	189.5	6.72	Full HD IPS		128	6	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	8	Два модуля (64 + 2 Mpix)
Смартфон Xiaomi Redmi 13C 128GB Синий RU	10999		3	1	Xiaomi	Синий	2023-12	Китай	192	6.74	IPS	90	128	4	5000	8-ядерный MediaTek Helio G85 2.00 ГГц	8	Два модуля (50 + 2 Mpix + 3D ToF)
Смартфон Samsung Galaxy S24 8/128GB Фиолетовый EAC	74999		5	3	Samsung	Фиолетовый	2024-01		168	6.2	Dynamic AMOLED 2X	120	128	8	4000	8-ядерный Exynos 2400 3.30 ГГц	12	Три модуля (50 + 12 + 10 Mpix)
Смартфон HONOR 90 Lite 256GB Серебристый EAC	17999	29999	5	1	HONOR	Серебристый		Китай	179	6.7	LTPS LCD		256	8	4500	8-ядерный MediaTek Dimensity 6020 2.20 ГГц	16	Три модуля (100 + 5 + 2 Mpix)
Смартфон Itel S23 128GB Белый RU	6499	9190	5	5	Itel		2023-09	Китай	195	6.56	LCD		128	4	5000	8-ядерный Unisoc T606 1.60 ГГц	8	Два модуля (50 + 8 Mpix)
Смартфон HONOR 200 Lite 8/256GB Полночный черный EAC	24999	26999			HONOR	Черный	2024-02	Китай	166	6.7	AMOLED	90	256	8	4500	8-ядерный MediaTek Dimensity 6080 2.40 ГГц	50	Три модуля (108 + 5 + 2 Mpix)
Смартфон Xiaomi Redmi 9A 32GB Granite Gray RU	5299		4.5	4	Xiaomi	Серый	2020-08	Китай	194	6.53	IPS		32	2	5000	8-ядерный MediaTek Helio G25 2.00 ГГц	5	13 Mpix
Смартфон realme 12 8/512GB, Pioneer Green RU	25999	29999	5	12	realme	Зеленый	2024-06	Китай	187	6.67	Full HD Plus AMOLED	120	512	8	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16	Два модуля (50 + 2 Mpix)
Смартфон Samsung Galaxy A14 128GB Зеленый RU	13499				Samsung	Зеленый	2023-03		201	6.6	PLS TFT LCD		128	4	5000	8-ядерный Exynos 850 2.00 ГГц	13	Четыре модуля (50 + 5 + 2 + 2 Mpix + 3D ToF)
Смартфон HUAWEI nova Y61 64GB Мятный зеленый EAC	8499				HUAWEI			Китай	188	6.52	LCD IPS		64	6	5000	8-ядерный Kirin 710A	5	Три модуля (50 + 2 + 2 Mpix)
Смартфон realme C63 8/256, Зеленый нефрит RU	14999	16999			realme	Зеленый	2024-07	Китай	191	6.74	IPS	90	256	8	5000	8-ядерный Unisoc TIGER T612 1.80 ГГц	8	Два модуля (50 Mpix)
Смартфон Infinix Smart 7 Plus 3/64GB Синий RU	6999				Infinix	Синий	2023-07	Китай	207	6.6	IPS	60	64	3	6000	8-ядерный Unisoc Spreadtrum SC9863A 2.00 ГГц	8	Два модуля (13 + 0.08 Mpix)
Смартфон Infinix Smart 8 Pro 4/64GB, синий	7999				Infinix	Синий		Китай	184	6.56	HD Plus IPS	90	64	4	5000	8-ядерный MediaTek G36 2.20 ГГц	8	Два модуля (50 + 0.80 Mpix)
Смартфон Samsung Galaxy S24 Ultra 12/512GB Серый Титан EAC	129999		5	3	Samsung	Серый	2024-01		168	6.8	Dynamic AMOLED 2X	120	512	12	5000	8-ядерный Qualcomm Snapdragon 8 Gen 3 3.30 ГГц	12	Четыре модуля (200 + 50 + 12 + 10 Mpix)
Смартфон HONOR X9b 12/256GB Оранжевый EAC	30999	34990	5	8	HONOR	Оранжевый	2024-06	Китай	185	6.78	AMOLED		256	12	5800	8-ядерный Qualcomm Snapdragon Qualcomm Snapdragon 6 Gen 1 Adreno A710 2.20 ГГц	16	Три модуля (108 + 5 + 2 Mpix)
Смартфон Infinix HOT 30 4/128 Зеленый RU	11999	15999	5	4	Infinix	Зеленый	2023-07	Китай	196	6.78	IPS	90	128	4	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	8	Два модуля (50 + 0.30 Mpix)
Смартфон HUAWEI nova Y90 128GB Изумрудно-зеленый RU	12990		5	102	HUAWEI	Зеленый	2022-09	Китай	195	6.7	IPS		128	4	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	8	Три модуля (50 + 2 + 2 Mpix)
Смартфон Xiaomi Redmi Note 13 8/512GB Midnight Black RU	25999	26999	5	2	Xiaomi	Черный	2024-08	Китай	188	6.67	AMOLED	120	512	8	5000	8-ядерный Qualcomm Snapdragon 685 2.80 ГГц	16	Три модуля (108 + 8 + 2 Mpix)
Смартфон Poco X6 5G 8/256GB Black RU	27999	31999			Poco	Черный		Китай	181	6.67	AMOLED	120	256	8	5000	8-ядерный Qualcomm Snapdragon 7s Gen 2 7s Gen2 2.40 ГГц	16	Три модуля (64 + 8 + 2 Mpix)
Смартфон Infinix Note 40 Pro 12/256ГБ, золотой RU	27999	32999			Infinix	Золотистый	2024-04	Китай	192	6.78	AMOLED	120	256	12	5000	8-ядерный MediaTek Helio G99 Ultimate 2.20 ГГц	32	Три модуля (108 + 2 + 2 Mpix)
Смартфон TECNO Spark 10 Pro 128GB Черный RU	12999	15990	5	7	TECNO	Черный	2023-04	Китай	205	6.78	IPS	90	128	8	5000	8-ядерный MediaTek Helio G88 2.00 ГГц	32	Два модуля (50 + 0.08 Mpix)
Смартфон Infinix Note 30 8/128 Синий RU	14999		5	3	Infinix	Синий	2023-07	Китай	219	6.78	IPS	120	128	8	5000	8-ядерный MediaTek Helio G99 2.20 ГГц	16	Три модуля (64 + 2 + 0.30 Mpix)
Смартфон HONOR X9b 8/256GB Оранжевый EAC	28999	32990	5	8	HONOR	Оранжевый	2024-06	Китай	185	6.78	AMOLED		256	8	5800	8-ядерный Qualcomm Snapdragon Qualcomm Snapdragon 6 Gen 1 Adreno A710 2.20 ГГц	16	Три модуля (108 + 5 + 2 Mpix)
Смартфон Samsung Galaxy S23 Ultra 512GB Бежевый EAC	109999				Samsung	Бежевый	2023-02	Вьетнам	234	6.8	Dynamic AMOLED 2X		512	12	5000	8-ядерный Qualcomm Snapdragon 8 Gen 2 2.80 ГГц	12	Четыре модуля (200 + 12 + 10 + 10 Mpix)
Смартфон Xiaomi Redmi 10C 3/64GB Mint Green RU	6999		5	11	Xiaomi	Зеленый	2022-04	Китай	190	6.71	Full HD+		64	3	5000	8-ядерный Qualcomm Snapdragon 680 2.40 ГГц	5	Два модуля (50 + 2 Mpix)
Смартфон TECNO Camon 20 Premier 5G 512GB Голубая фиалка RU	32999	39999	5	6	TECNO	Голубой	2023-06	Китай	205	6.7	AMOLED		512	8	5000	8-ядерный MediaTek Dimensity 8050 3.00 ГГц	32	Три модуля (108 + 50 + 2 Mpix)
Смартфон TECNO Camon 30 Pro 5G 12/512GB Basaltic Dark RU	39999	49999			TECNO	Черный	2024-05	Китай	194	6.7	AMOLED	144	512	12	5000	8-ядерный MediaTek Dimensity 8200 Ultimate 5G 3.00 ГГц	50	Два модуля (50 + 2 Mpix)
